hour,day,month,year,num_transactions,input_value,output_value
0,1,1,2013,2095,10643037113361,10655537113361
1,1,1,2013,703,5414006583852,5421506583852
2,1,1,2013,1043,5132218503518,5164718453518
3,1,1,2013,995,7146044829952,7166044829952
4,1,1,2013,1138,5360410303398,5382910203398
5,1,1,2013,1274,3704608128665,3722108028665
6,1,1,2013,1241,5970953391064,5993453341064
7,1,1,2013,1185,5925387720197,5945387670197
8,1,1,2013,915,6239318548164,6259318548164
9,1,1,2013,1595,10637706969956,10655206969956
10,1,1,2013,1140,8307813257509,8330313257509
11,1,1,2013,669,2903796049998,2916296049998
12,1,1,2013,1079,4977226475451,4984726475451
13,1,1,2013,817,8465175802955,8477675752955
14,1,1,2013,1077,4391096911117,4401096911117
15,1,1,2013,2096,8217819533640,8240319533640
16,1,1,2013,1309,4423872194145,4441372194145
17,1,1,2013,984,4811933512169,4829433512169
18,1,1,2013,1978,3241590551551,3256590551551
19,1,1,2013,1520,4253648803419,4266148803419
20,1,1,2013,1754,5557558545478,5577558545478
21,1,1,2013,2334,9303035416382,9325535416382
22,1,1,2013,863,1974035844027,1981535844027
23,1,1,2013,2092,11790599966672,11803099966672
0,2,1,2013,1181,5727511153349,5735011153349
1,2,1,2013,4219,26529651630547,26549651630547
2,2,1,2013,1612,11332038102214,11347038102214
3,2,1,2013,1925,17068246962229,17090746862229
4,2,1,2013,626,4522982278256,4535482278256
5,2,1,2013,1104,13037378096525,13052378096525
6,2,1,2013,967,7620564497028,7640564497028
7,2,1,2013,756,5668835018394,5678835018394
8,2,1,2013,2304,9227304055774,9242304055774
9,2,1,2013,1423,7086969885528,7106969885528
10,2,1,2013,903,6618460840362,6630960840362
11,2,1,2013,984,6560725302295,6575725302295
12,2,1,2013,1400,4981480131273,4991480131273
13,2,1,2013,1050,4279902609913,4297402609913
14,2,1,2013,1910,10910026165548,10930026165548
15,2,1,2013,2216,7532981060901,7560481060901
16,2,1,2013,2018,4167341789198,4189841789198
17,2,1,2013,2106,5302872023629,5320372023629
18,2,1,2013,2028,5774830217193,5794830217193
19,2,1,2013,1478,4997828967291,5012828967291
20,2,1,2013,1680,6804630647434,6814630647434
21,2,1,2013,1477,6633901069610,6646401069610
22,2,1,2013,2044,5085289378433,5100289378433
23,2,1,2013,2022,6875372489541,6885372489541
0,3,1,2013,2486,4269208114847,4286708114847
1,3,1,2013,2545,16512674042400,16535174042400
2,3,1,2013,2667,17552972406177,17567972406177
3,3,1,2013,2004,7757645017117,7780145017117
4,3,1,2013,1067,2322635277694,2327635277694
5,3,1,2013,2323,7680824287131,7690824287131
6,3,1,2013,3073,6477969701472,6497969701472
7,3,1,2013,1457,4564999748091,4577499748091
8,3,1,2013,2083,4850524612111,4868024612111
9,3,1,2013,1742,2973437194931,2998437194931
10,3,1,2013,1047,3190980729125,3210980679125
11,3,1,2013,1556,3772498928574,3792498928574
12,3,1,2013,1816,7074533812526,7097033712526
13,3,1,2013,1298,6340693817118,6355693817118
14,3,1,2013,821,3361498985818,3381498985818
15,3,1,2013,1008,3928358136052,3950858136052
16,3,1,2013,1072,14263452596234,14275952596234
17,3,1,2013,946,10451500658093,10471500658093
18,3,1,2013,1162,9615960535299,9628460535299
