hour,day,month,year,num_transactions,input_value,output_value
1,19,1,2014,1,,5000000000
3,19,1,2014,135,,6750000000000
4,19,1,2014,1038,1000000000000,52404000000000
5,19,1,2014,617,1559500100000,19510700100000
6,19,1,2014,525,4159510000000,29509510000000
7,19,1,2014,156,12331300000000,19631300000000
8,19,1,2014,901,21846173700000,47746173700000
9,19,1,2014,356,12375665800000,19325665800000
10,19,1,2014,160,3200005000000,8200005000000
11,19,1,2014,350,6850000900000,18300000900000
12,19,1,2014,103,2275000000000,5310700000000
13,19,1,2014,77,1300000000000,2768100000000
14,19,1,2014,115,1010100000000,3613900000000
15,19,1,2014,111,1026300000000,3574700000000
16,19,1,2014,127,28210876800000,30870076800000
17,19,1,2014,103,581700600000,2963900600000
18,19,1,2014,149,1082385943369,3907785943369
19,19,1,2014,41,110799700000,1693199700000
20,19,1,2014,49,1152327697248,2052327697248
21,19,1,2014,42,238531931149,1238531931149
22,19,1,2014,63,777872675380,1877872675380
23,19,1,2014,71,19949285331675,20999285331675
0,20,1,2014,54,514526269069,1664526269069
1,20,1,2014,121,1803547761519,3303547761519
2,20,1,2014,118,1652483810216,2752483810216
3,20,1,2014,156,4973168628636,6573168628636
4,20,1,2014,110,2874819570956,3974819570956
5,20,1,2014,140,3746738010166,4996738010166
6,20,1,2014,163,3607242613740,5007242613740
7,20,1,2014,187,4747183573316,5947183573316
8,20,1,2014,98,1890939397312,3690939397312
9,20,1,2014,246,6599928448758,8449928448758
10,20,1,2014,210,5270498601072,6470498601072
11,20,1,2014,400,11462779388203,14062779388203
12,20,1,2014,132,3920867243205,4354467243205
13,20,1,2014,352,10037421659736,10171821659736
14,20,1,2014,312,8525766155385,8676966155385
15,20,1,2014,392,11339211099907,11540811099907
16,20,1,2014,302,7382064922588,7526264922588
17,20,1,2014,314,2526552331150,2738052331150
18,20,1,2014,222,644041727194,827341727194
19,20,1,2014,211,645214921832,819114921832
20,20,1,2014,189,3548257208364,3731557208364
21,20,1,2014,215,541461420182,757661420182
22,20,1,2014,174,398528859078,558328859078
23,20,1,2014,186,474158662130,666858662130
0,21,1,2014,216,675178640244,867878640244
1,21,1,2014,201,668284903186,823384903186
2,21,1,2014,204,667287564513,859987564513
3,21,1,2014,216,656736595630,858836595630
4,21,1,2014,205,610947382535,789547382535
5,21,1,2014,198,476288601630,645488601630
6,21,1,2014,156,399420430149,526320430149
7,21,1,2014,149,374066309390,483766309390
8,21,1,2014,135,339749879578,381749879578
9,21,1,2014,109,366371478556,408371478556
10,21,1,2014,80,285438389528,306438389528
11,21,1,2014,63,128341373220,151441373220
12,21,1,2014,94,222698674440,249998674440
13,21,1,2014,85,279760047981,302860047981
14,21,1,2014,55,126167126945,145067126945
15,21,1,2014,57,147422925757,162122925757
16,21,1,2014,88,475525725883,500725725883
17,21,1,2014,48,179757456678,190257456678
18,21,1,2014,40,51526778210,68326778210
19,21,1,2014,33,54088632234,68788632234
20,21,1,2014,45,31505846066,56705846066
21,21,1,2014,40,33546017078,54546017078
22,21,1,2014,27,29441604866,46241604866
23,21,1,2014,28,39027838210,53727838210
0,22,1,2014,28,17454944882,38454944882
1,22,1,2014,22,27725545382,38225545382
2,22,1,2014,17,19965358816,30465358816
3,22,1,2014,24,132160070265,144760070265
4,22,1,2014,17,124186441503,132586441503
5,22,1,2014,13,17304428856,23604428856
6,22,1,2014,19,15985941720,28585941720
7,22,1,2014,14,18905037660,27305037660
8,22,1,2014,15,13174550447,23674550447
9,22,1,2014,9,5503411187,11803411187
10,22,1,2014,12,11657425213,17957425213
12,22,1,2014,13,40889313051,45089313051
13,22,1,2014,10,5534691109,11834691109
14,22,1,2014,23,293538651515,306138651515
15,22,1,2014,12,22696874033,28996874033
16,22,1,2014,34,39570047874,58470047874
17,22,1,2014,4,1778585717,5978585717
18,22,1,2014,15,20899711998,27199711998
19,22,1,2014,10,11027388514,17327388514
20,22,1,2014,15,8106482412,16506482412
21,22,1,2014,9,3368330589,9668330589
22,22,1,2014,14,28418915970,34718915970
23,22,1,2014,17,16547152435,24947152435
0,23,1,2014,18,25659776929,34059776929
1,23,1,2014,5,19310414444,23510414444
2,23,1,2014,25,106511804328,161611804328
3,23,1,2014,12,13769057632,38169057632
4,23,1,2014,5,4728031645,16928031645
6,23,1,2014,20,32372695165,93372695165
7,23,1,2014,18,12061065682,85261065682
8,23,1,2014,14,14420401555,63220401555
9,23,1,2014,9,6705749591,43305749591
10,23,1,2014,11,31856024478,68456024478
11,23,1,2014,15,8768565889,69768565889
12,23,1,2014,17,20278327594,81278327594
13,23,1,2014,10,43513424649,92313424649
14,23,1,2014,8,15676797135,27876797135
15,23,1,2014,15,56806017705,105606017705
16,23,1,2014,12,8871828247,57671828247
17,23,1,2014,5,2611936073,27011936073
18,23,1,2014,13,20693211197,81693211197
19,23,1,2014,11,6930031327,55730031327
20,23,1,2014,5,2390805625,26790805625
21,23,1,2014,5,2573207723,26973207723
22,23,1,2014,8,17125669495,53725669495
23,23,1,2014,6,12196469642,24396469642
0,24,1,2014,4,27594835345,39794835345
1,24,1,2014,11,65170870633,101770870633
2,24,1,2014,50,872997025687,946197025687
3,24,1,2014,6,60709882054,72909882054
5,24,1,2014,16,326243174767,338443174767
6,24,1,2014,15,10334237904,71334237904
7,24,1,2014,5,12387491436,36787491436
8,24,1,2014,9,377881751361,414481751361
9,24,1,2014,5,1202530103,37802530103
10,24,1,2014,4,6568442782,30968442782
11,24,1,2014,12,19384870855,104784870855
13,24,1,2014,7,5558391201,54358391201
14,24,1,2014,12,12914736451,110514736451
15,24,1,2014,9,22124725593,70924725593
16,24,1,2014,14,52618493710,89218493710
17,24,1,2014,28,88618484873,174018484873
18,24,1,2014,10,18649541826068,18673941826068
19,24,1,2014,28,85550877617,183150877617
20,24,1,2014,8,20901877774,69701877774
21,24,1,2014,14,50103124179,86703124179
22,24,1,2014,14,43679138996,92479138996
23,24,1,2014,16,71745655253,120545655253
0,25,1,2014,7,22446929705,46846929705
1,25,1,2014,9,33260479210,57660479210
2,25,1,2014,6,3998499340,28398499340
3,25,1,2014,14,62651104684,111451104684
4,25,1,2014,8,29237351761,65837351761
5,25,1,2014,20,264813547524,325813547524
6,25,1,2014,14,79176033376,127976033376
7,25,1,2014,6,25438512524,37638512524
8,25,1,2014,19,66253238625,127253238625
9,25,1,2014,20,74400242233,135400242233
