hour,day,month,year,num_transactions,input_value,output_value
10,6,12,2013,1,,5000000000
3,8,12,2013,62,,3157054700000000
4,8,12,2013,829,100099300000000,41361670100000000
5,8,12,2013,146,,7268034500000000
6,8,12,2013,88,205159500000000,4339859300000000
7,8,12,2013,92,378390999960000,4581979799960000
8,8,12,2013,65,17175800000000,3242497300000000
9,8,12,2013,65,,3488551400000000
10,8,12,2013,98,,4551169800000000
11,8,12,2013,134,694597791419650,5315831791419650
12,8,12,2013,209,2437474296850601,7570675296850601
13,8,12,2013,436,6440820923596503,10861629823596503
14,8,12,2013,424,8475627489989940,11863250689989940
15,8,12,2013,508,7831894062052059,12237826462052059
16,8,12,2013,207,1537788664216093,5231758664216093
17,8,12,2013,86,421785238599077,2937657838599077
18,8,12,2013,203,4600313910797307,9345588410797307
19,8,12,2013,345,2841536355805182,6155109455805182
20,8,12,2013,928,15229190089634835,19952694789634835
21,8,12,2013,641,10474691435214722,14645786435214722
22,8,12,2013,865,18465025778884308,23174693778884308
23,8,12,2013,720,12278659833173749,15221331333173749
0,9,12,2013,748,13979864387519630,17568890187519630
1,9,12,2013,821,15775507279953741,19555265079953741
2,9,12,2013,530,8421722595075422,11522722295075422
3,9,12,2013,310,9638118423879840,13185835423879840
4,9,12,2013,333,6940524470405595,9506817970405595
5,9,12,2013,336,9552989365312435,12104093365312435
6,9,12,2013,53,52743610515939,1570869310515939
7,9,12,2013,389,8705281504552451,11535982604552451
8,9,12,2013,334,5553967275112792,8316662675112792
9,9,12,2013,321,6325984629704679,9935907629704679
10,9,12,2013,419,8293194401596775,12138031501596775
11,9,12,2013,458,12615839146781659,15913904246781659
12,9,12,2013,451,13688184799006027,17107094599006027
13,9,12,2013,386,10918939662631140,13712656562631140
14,9,12,2013,487,15351914677852730,18622850177852730
15,9,12,2013,419,10313735104778887,13859096704778887
16,9,12,2013,492,14948610745299350,18990085845299350
17,9,12,2013,492,13757389905103408,16379456905103408
18,9,12,2013,530,9398232669647419,12985628069647419
19,9,12,2013,584,9624303322950083,12557649022950083
20,9,12,2013,539,9433346832831134,13201873732831134
21,9,12,2013,473,10291307670394687,13785034670394687
22,9,12,2013,476,8723680475798419,11186190475798419
23,9,12,2013,484,10199555126032119,13456625826032119
0,10,12,2013,409,11633361385034947,14294580385034947
1,10,12,2013,345,10428349976969641,13084646876969641
2,10,12,2013,538,12217151585801574,15693968685801574
3,10,12,2013,494,10011179848835258,13443770648835258
4,10,12,2013,491,12722355156170124,16644226456170124
5,10,12,2013,495,11929733534068500,14948088234068500
6,10,12,2013,490,10554490810189302,14227097710189302
7,10,12,2013,536,14362108258588499,18069821158588499
8,10,12,2013,515,13039790138827468,16540183338827468
9,10,12,2013,462,10997316534095755,14192120734095755
10,10,12,2013,417,11645775405791665,14859828705791665
11,10,12,2013,488,12874448423718823,16671905423718823
12,10,12,2013,479,10499388255703827,13586929755703827
13,10,12,2013,414,14395142145394613,16547457445394613
14,10,12,2013,537,12483292972481580,16016774372481580
15,10,12,2013,510,10066466589716877,12331643789716877
16,10,12,2013,274,6080295867743927,7957472767743927
17,10,12,2013,196,3296081125279857,4695045825279857
18,10,12,2013,219,2646143243705175,4793022943705175
19,10,12,2013,166,2224494601660457,3819291701660457
20,10,12,2013,336,5264438075148233,8077398675148233
21,10,12,2013,386,6612658892347276,9054976092347276
22,10,12,2013,613,12867828843995276,16333611443995276
23,10,12,2013,1057,18001613353095373,22063059553095373
0,11,12,2013,1167,17263169236492191,21498243436492191
1,11,12,2013,1829,11605466828934569,15043924128934569
2,11,12,2013,1490,42441464095729018,46577050695729018
3,11,12,2013,1913,16864061020805759,20122791620805759
4,11,12,2013,838,13683447912149219,17553302612149219
5,11,12,2013,1298,21737245203503672,25084450803503672
6,11,12,2013,806,13815495495978954,16237197395978954
7,11,12,2013,688,21812166541257320,25558390541257320
8,11,12,2013,900,12001438859239388,15952575759239388
9,11,12,2013,760,14218604007314049,17697127907314049
10,11,12,2013,684,11843111010545138,15201721110545138
11,11,12,2013,583,9931923996765057,12902717896765057
12,11,12,2013,593,18009708811958929,20792062611958929
13,11,12,2013,992,16136381208707521,19480338708707521
14,11,12,2013,416,11591798161016482,13692993661016482
15,11,12,2013,1017,16429065529691555,18542719129691555
16,11,12,2013,1535,12644688937799817,15596378137799817
17,11,12,2013,876,16538982536625073,19714995136625073
18,11,12,2013,1233,23013689642387536,26209683742387536
19,11,12,2013,1776,21260185746747242,24520535746747242
20,11,12,2013,2448,23728453275666037,27313279175666037
21,11,12,2013,2630,26244708295941514,29167266895941514
22,11,12,2013,2072,20458696689858137,23317483889858137
23,11,12,2013,1982,21458277155665509,24051610055665509
0,12,12,2013,1071,10420896078582619,12851874378582619
1,12,12,2013,1467,14560515031282661,17528381231282661
2,12,12,2013,1449,16582228977163085,20308017677163085
3,12,12,2013,2069,26744878875461372,30195979575461372
4,12,12,2013,1890,22908349703287864,25468563703287864
5,12,12,2013,1511,12972095728423207,16865896828423207
6,12,12,2013,1336,14591840361457513,18791250161457513
7,12,12,2013,1265,19748979682138354,23127747182138354
8,12,12,2013,934,16538440461614445,19679307861614445
9,12,12,2013,1360,26594909038138270,30028750438138270
10,12,12,2013,683,13473160197586616,15881247597586616
11,12,12,2013,565,15590960323016403,18062667223016403
12,12,12,2013,1342,13808938295247291,16516265995247291
13,12,12,2013,1978,33327702802611587,35722541202611587
14,12,12,2013,2323,35839121353585824,38846112953585824
15,12,12,2013,2721,32596458350040969,36036438950040969
16,12,12,2013,4180,38736373520654413,41963805520654413
17,12,12,2013,2747,32792684795175614,36430125995175614
18,12,12,2013,2181,23573602587219842,25276388387219842
19,12,12,2013,1949,22211046820975381,24718966620975381
20,12,12,2013,2743,15868977065750661,17859225265750661
21,12,12,2013,2782,15616568297298853,17703366697298853
22,12,12,2013,2113,21875904109640754,23946472509640754
23,12,12,2013,2837,47692215115399419,50739279315399419
0,13,12,2013,2366,43677458303114066,46993219403114066
1,13,12,2013,1898,29969880556480129,33274023756480129
2,13,12,2013,1968,45857002312424539,49807900212424539
3,13,12,2013,2244,49652475575865806,52975126875865806
4,13,12,2013,1584,34190351012011479,37810408212011479
5,13,12,2013,2020,50172777580572769,54202894080572769
6,13,12,2013,1760,35233203151866695,37646172151866695
7,13,12,2013,1873,40860178273703017,44238851373703017
8,13,12,2013,2197,37493289588795404,40159175088795404
9,13,12,2013,1664,27014597237504208,30260539637504208
10,13,12,2013,2092,45556313288563224,48576400488563224
11,13,12,2013,2469,41805581758026192,44840781558026192
12,13,12,2013,2618,34734267324157734,37062008824157734
13,13,12,2013,3465,41517324552027263,44934525252027263
14,13,12,2013,3477,45133099383910024,47831060083910024
15,13,12,2013,2569,31083417630562829,34089890330562829
16,13,12,2013,2243,35246277685152694,39650767085152694
17,13,12,2013,3262,49523235135280167,53139501035280167
18,13,12,2013,1979,33789254264755041,37484326164755041
19,13,12,2013,1997,47485372065087822,50434171165087822
20,13,12,2013,1348,24795880383894591,27651309383894591
21,13,12,2013,1520,39671848602130502,43299229802130502
22,13,12,2013,2009,25266165673639321,28595244973639321
23,13,12,2013,1625,29057324398199991,32571324398199991
0,14,12,2013,1383,26188989592700148,30147100092700148
1,14,12,2013,1738,33367028469717217,36890013169717217
2,14,12,2013,1540,27588913648365042,31059292148365042
3,14,12,2013,1115,16699377435682356,19807293935682356
4,14,12,2013,1512,26021456552874196,29105744152874196
5,14,12,2013,1622,30393056273286847,33524023173286847
6,14,12,2013,1803,37239657241981874,40824142541981874
7,14,12,2013,1766,31315933701608237,35042016201608237
8,14,12,2013,2092,37918262717274905,40745836517274905
9,14,12,2013,2143,27932412382184847,31487142382184847
10,14,12,2013,1932,30124749742640467,33291515542640467
11,14,12,2013,2716,41827603601709289,44920408901709289
12,14,12,2013,4280,43421170869999423,45617061869999423
13,14,12,2013,2959,34842400622315040,38341435222315040
14,14,12,2013,4393,44067673220684442,46930860220684442
15,14,12,2013,4544,40613499702902186,43820552102902186
16,14,12,2013,6296,103454887541607719,107511045941607719
17,14,12,2013,6036,62215241834976887,65678254734976887
18,14,12,2013,6968,80501548362976983,83760172362976983
19,14,12,2013,6528,70307409318359531,73629265118359531
20,14,12,2013,4988,84510480233391768,87427514933391768
21,14,12,2013,4844,86148590688349975,88587874988349975
22,14,12,2013,4266,39383538361318052,42462194661318052
23,14,12,2013,4515,59097656009839414,62245909709839414
0,15,12,2013,4451,64645029174517383,67391059574517383
