hour,day,month,year,num_transactions,avg_gas_price,avg_gas
0,1,1,2017,1119,22595699259.198418,168050.21983914197
1,1,1,2017,1225,22634528618.145294,180829.56326530609
2,1,1,2017,1907,22220838165.771362,148714.73099108558
3,1,1,2017,1918,23248149067.992649,120343.07559958271
4,1,1,2017,1286,22163401817.690514,147333.93779160202
5,1,1,2017,2820,20939135741.064529,114637.16595744684
6,1,1,2017,899,22011895600.837605,177789.3526140156
7,1,1,2017,1045,22458290388.040203,217081.46889952169
8,1,1,2017,835,21792039919.691,206583.68023952103
9,1,1,2017,1557,22326585706.590248,139144.42774566464
10,1,1,2017,3372,21923593376.728626,116337.30812574134
11,1,1,2017,1296,22218857408.162746,182121.97993827148
12,1,1,2017,4027,22559889104.552227,108807.99180531446
13,1,1,2017,1465,22393086442.038929,162610.19317406166
14,1,1,2017,1480,22322996189.95406,159743.3391891894
15,1,1,2017,1910,22479276608.991634,116569.50314136106
16,1,1,2017,1000,22404632473.093994,172467.03699999998
17,1,1,2017,1538,22624187256.177525,162727.50325097525
18,1,1,2017,1385,23042954234.938637,152125.48014440434
19,1,1,2017,1314,24704958964.497719,130215.5844748856
20,1,1,2017,1257,22815433572.00317,156997.06205250593
21,1,1,2017,1792,22650310796.411263,127840.12555803562
22,1,1,2017,1143,22967629046.372704,169769.75328083977
23,1,1,2017,1140,22895614035.092079,156129.47280701771
0,2,1,2017,892,22528026905.829567,181804.50224215258
1,2,1,2017,974,22555044037.156044,158381.16427104734
2,2,1,2017,1887,22686096708.060936,123152.94965553799
3,2,1,2017,1880,23308775388.971252,138792.85000000012
4,2,1,2017,1322,22341844528.19593,171649.1285930408
5,2,1,2017,2891,21960995055.15015,115449.49290902803
6,2,1,2017,1265,22867184704.181808,194105.28142292492
7,2,1,2017,1343,23060159307.901703,163739.91586001514
8,2,1,2017,1390,23941834351.442432,170839.36115107909
9,2,1,2017,5219,22592431209.526772,104303.0093887719
10,2,1,2017,1357,23611440103.596184,178508.78776713347
11,2,1,2017,1241,23282623257.294128,149897.31426269136
12,2,1,2017,1850,22922989479.94648,152462.79891891903
13,2,1,2017,1391,23232286206.144505,156433.82171099933
14,2,1,2017,1483,22950364447.871185,162279.27444369515
15,2,1,2017,2075,22077613862.528641,130443.54120481947
16,2,1,2017,1416,22923245929.766945,152801.20621468924
17,2,1,2017,1577,22726195434.370979,152368.19974635381
18,2,1,2017,1450,24056006668.464821,156565.37379310362
19,2,1,2017,1283,23282640169.056118,148895.93998441132
20,2,1,2017,1211,23439705614.675491,158448.76630883565
21,2,1,2017,2014,22716579724.939434,149519.01489572952
22,2,1,2017,1292,24229049234.438843,146537.00851393194
23,2,1,2017,949,23142719153.0021,199523.53424657523
0,3,1,2017,1162,23017483852.450947,143039.04905335637
1,3,1,2017,1424,22991573033.71283,162772.85393258426
2,3,1,2017,2473,21444339245.928421,126348.37040032346
3,3,1,2017,1976,23473684210.534412,130533.29554655863
4,3,1,2017,2152,21219423791.822533,119888.42379182173
5,3,1,2017,2168,21436729492.137913,128570.12638376371
6,3,1,2017,1912,22122710396.247391,211770.86192468615
7,3,1,2017,1247,24672918172.495579,193932.73376102638
8,3,1,2017,1518,23214224412.586357,151074.93412384717
9,3,1,2017,2055,23287981508.522648,141694.92603406325
10,3,1,2017,1368,22960970898.86113,169464.66154970761
11,3,1,2017,1386,22547862061.197018,159605.6522366523
12,3,1,2017,1587,23045489272.965981,151810.04473850044
13,3,1,2017,1260,23245511486.581768,182896.030952381
14,3,1,2017,1579,24694784316.186829,148983.22799240003
15,3,1,2017,2148,23606005517.179253,131494.21415270033
16,3,1,2017,1856,23813156403.340511,147610.96875000003
17,3,1,2017,1558,22911778216.209248,146680.70474967919
18,3,1,2017,1911,23196994501.340687,134239.44270015703
19,3,1,2017,2970,23139615688.193279,125821.53030303038
20,3,1,2017,4816,24680409328.144928,195503.12977574748
21,3,1,2017,2467,23791039112.845554,138440.38508309674
22,3,1,2017,1416,24182426720.7267,142240.53813559312
23,3,1,2017,1474,23917036127.886719,143281.25576662135
0,4,1,2017,2161,22492307358.309116,137854.27718648774
1,4,1,2017,1199,23383582743.329418,178539.03919933274
2,4,1,2017,2203,22947525829.910591,132562.783931003
3,4,1,2017,3813,22426417798.779911,136912.42276422752
4,4,1,2017,1864,23938087975.266083,198236.487660944
5,4,1,2017,1579,23190706403.947453,239267.98860038002
6,4,1,2017,1822,23269978580.034618,160121.2650933041
7,4,1,2017,1900,23158065936.493687,139397.85052631557
8,4,1,2017,1907,22551651809.125362,151002.3675930782
9,4,1,2017,2653,22911097334.028679,113731.77572559376
10,4,1,2017,1960,23840676318.505093,164779.55255102017
11,4,1,2017,1895,23309561413.959362,151114.32348284964
12,4,1,2017,1521,23660099921.02499,170822.4510190665
13,4,1,2017,1592,22875628040.204105,165906.73869346731
14,4,1,2017,3191,22679415416.366627,125716.03447195225
15,4,1,2017,2975,22465811256.721706,117155.31663865545
16,4,1,2017,1927,22902798413.500797,144609.42553191498
17,4,1,2017,1823,22343002651.352764,149742.39330773437
18,4,1,2017,1667,23754251244.243549,144781.5236952609
19,4,1,2017,1682,23832211655.172989,168185.21165279427
20,4,1,2017,3572,22942850908.968636,135523.22256438993
21,4,1,2017,2498,23020075328.760197,150345.82506004817
22,4,1,2017,1544,23527121043.00647,187373.28886010367
23,4,1,2017,1725,23415212126.799438,162601.76753623175
0,5,1,2017,1574,23468554853.839897,182914.57242693802
1,5,1,2017,1634,23481467738.427818,142544.34149326809
2,5,1,2017,2500,23160155897.730839,124257.74440000008
3,5,1,2017,2520,23664581116.09523,127069.55277777782
4,5,1,2017,1375,23576569549.182568,158734.58036363637
5,5,1,2017,2237,21983241593.38446,142199.5015645955
6,5,1,2017,2142,22638643870.661057,145366.6493930906
7,5,1,2017,1846,22649203559.577477,143673.55904658724
8,5,1,2017,2262,22698632951.315639,179019.90627763022
9,5,1,2017,2438,22443746507.677559,120392.28547990163
10,5,1,2017,2388,23598629564.806122,125350.10469011712
11,5,1,2017,2182,23506196141.591602,123928.47158570121
12,5,1,2017,1961,22633001701.4554,145710.66955634885
13,5,1,2017,1805,23206581883.660358,161540.34459833783
14,5,1,2017,2052,23006826071.41721,142066.77826510731
15,5,1,2017,2364,22321803362.385345,123930.85490693743
16,5,1,2017,4780,23147372109.8341,100459.63953974903
17,5,1,2017,1605,22487977296.31213,168065.13582554538
18,5,1,2017,1969,22647185756.091434,117076.90553580504
19,5,1,2017,1326,23125577431.916317,146061.47285067875
20,5,1,2017,1167,22790535940.691525,195815.78577549255
21,5,1,2017,2257,22754888643.902054,129351.82853345164
22,5,1,2017,1752,23142953830.190651,178173.16780821912
23,5,1,2017,1460,21963698630.140423,171752.20753424653
0,6,1,2017,1384,23236625703.901745,157155.53901734095
1,6,1,2017,2645,22416828485.394733,137198.03251417767
2,6,1,2017,1656,22945819638.22221,159429.80253623205
3,6,1,2017,2001,24072448377.5337,166084.31184407786
4,6,1,2017,2064,22442174676.271305,130380.28827519386
5,6,1,2017,2990,20906046522.251148,108867.68628762537
6,6,1,2017,1462,23165024317.4508,226473.54240766075
7,6,1,2017,1367,23032720736.460884,156710.72494513533
8,6,1,2017,1509,22342885594.358532,153268.33134526171
9,6,1,2017,2098,22307699922.908939,124225.45328884647
10,6,1,2017,1688,23048578104.267773,130129.16350710904
11,6,1,2017,1444,23319470967.139874,152611.10941828246
12,6,1,2017,2601,22260665063.123009,129184.35563244889
13,6,1,2017,1531,22500573506.018234,153429.66819072503
14,6,1,2017,1727,23559285071.353207,139897.82107701214
15,6,1,2017,2019,22792998295.206066,131999.02278355623
16,6,1,2017,1384,23395953526.012981,154342.71026011568
17,6,1,2017,1152,23959284714.905403,177846.49826388876
